geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Page County, VA","county",05000US51139,180200,178100,176000,171300
"Patrick County, VA","county",05000US51141,110500,112500,111100,115300
"Pittsylvania County, VA","county",05000US51143,109600,107800,111900,114400
"Powhatan County, VA","county",05000US51145,269700,259500,257300,254200
"Prince Edward County, VA","county",05000US51147,153400,155200,151500,151200
"Prince George County, VA","county",05000US51149,199600,201600,207500,205400
"Prince William County, VA","county",05000US51153,321400,323400,333100,345900
"Pulaski County, VA","county",05000US51155,133900,134300,135700,136700
"Rappahannock County, VA","county",05000US51157,394800,383700,367000,362100
"Richmond County, VA","county",05000US51159,155700,156800,150000,153300
"Roanoke County, VA","county",05000US51161,193700,194000,189200,189800
"Rockbridge County, VA","county",05000US51163,179500,184200,188500,193300
"Rockingham County, VA","county",05000US51165,195300,197300,197300,200900
"Russell County, VA","county",05000US51167,91100,94500,96000,94100
"Scott County, VA","county",05000US51169,91000,91700,91900,92200
"Shenandoah County, VA","county",05000US51171,205300,201200,198900,200100
"Smyth County, VA","county",05000US51173,91200,91200,88900,91100
"Southampton County, VA","county",05000US51175,150000,159200,159700,161500
"Spotsylvania County, VA","county",05000US51177,249100,245600,248300,252900
"Stafford County, VA","county",05000US51179,299300,300000,305300,314800
"Surry County, VA","county",05000US51181,161600,160200,169000,166600
"Sussex County, VA","county",05000US51183,118000,124500,140400,128300
"Tazewell County, VA","county",05000US51185,88000,89600,91400,94400
"Warren County, VA","county",05000US51187,219000,210900,213500,223300
"Washington County, VA","county",05000US51191,131500,134000,130200,136600
"Westmoreland County, VA","county",05000US51193,180900,188100,191600,198300
"Wise County, VA","county",05000US51195,83900,86300,87500,86000
"Wythe County, VA","county",05000US51197,112100,119200,123900,128200
"York County, VA","county",05000US51199,316800,313100,312600,314400
"Alexandria city, VA","county",05000US51510,476700,494400,502500,520700
"Bedford city, VA","county",05000US51515,146400,,,
"Bristol city, VA","county",05000US51520,110800,113200,114500,109100
"Buena Vista city, VA","county",05000US51530,118900,120500,115000,112400
"Charlottesville city, VA","county",05000US51540,293000,283100,285300,280100
"Chesapeake city, VA","county",05000US51550,261600,254900,253800,256500
"Colonial Heights city, VA","county",05000US51570,181300,176300,169300,166800
